,junction,strand,label_5_prime,label_3_prime,position_off_5_prime,position_off_3_prime,transcripts,annotation
13467,chr14:32202465-32208156,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000022470.14', 'ENSMUST00000164137.7', 'ENSMUST00000163350.7', 'ENSMUST00000170129.7', 'ENSMUST00000170637.1']",both sides
13468,chr14:3226449-3227118,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000112797.11', 'ENSMUST00000178670.1', 'ENSMUST00000225885.1']",both sides
13469,chr14:3226449-3233469,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000112797.11', 'ENSMUST00000178670.1', 'ENSMUST00000225885.1']",both sides
13470,chr14:3226449-3458386,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000112797.11', 'ENSMUST00000178670.1', 'ENSMUST00000225885.1']",both sides
13471,chr14:3227302-3233469,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000112797.11', 'ENSMUST00000178670.1', 'ENSMUST00000225885.1']",both sides
13472,chr14:32322116-32323878,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000022480.7', 'ENSMUST00000228529.1']",both sides
13473,chr14:32322116-32325793,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000022480.7', 'ENSMUST00000228529.1']",both sides
13474,chr14:32323947-32325793,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000022480.7', 'ENSMUST00000228529.1']",both sides
13475,chr14:32513599-32516942,+,annotated on 5',unannotated on 3',0.0,,"['ENSMUST00000066807.7', 'ENSMUST00000228017.1']",one side
13476,chr14:32513599-32516946,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000066807.7', 'ENSMUST00000228017.1']",both sides
13477,chr14:3270862-3304663,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000112812.7', 'ENSMUST00000188883.1', 'ENSMUST00000179153.1']",both sides
13478,chr14:32786096-32805123,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000227060.1', 'ENSMUST00000039191.7', 'ENSMUST00000227871.1', 'ENSMUST00000228481.1']",both sides
13479,chr14:32786096-32816846,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000227060.1', 'ENSMUST00000039191.7', 'ENSMUST00000227871.1', 'ENSMUST00000228481.1']",both sides
13480,chr14:32805177-32806779,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000227060.1', 'ENSMUST00000039191.7', 'ENSMUST00000227871.1']",both sides
13481,chr14:32805177-32808348,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000227060.1', 'ENSMUST00000039191.7', 'ENSMUST00000227871.1']",both sides
13482,chr14:32806911-32808348,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000039191.7', 'ENSMUST00000227871.1']",both sides
13483,chr14:32808379-32816846,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000228955.1', 'ENSMUST00000227060.1', 'ENSMUST00000039191.7', 'ENSMUST00000227871.1']",both sides
13484,chr14:3287835-3288047,+,unannotated on 5',unannotated on 3',,,[],none
13485,chr14:33217111-33231914,+,annotated on 5',unannotated on 3',0.0,,['ENSMUST00000111956.8'],one side
13486,chr14:33217111-33271783,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000111956.8'],both sides
13487,chr14:33250737-33271783,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000131086.2'],both sides
13488,chr14:33298791-33343228,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000131086.2', 'ENSMUST00000111956.8']",both sides
13489,chr14:33319932-33343228,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000111955.1'],both sides
13490,chr14:3332711-3334089,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000177786.7'],both sides
13491,chr14:3332711-3337380,+,annotated on 5',unannotated on 3',0.0,,['ENSMUST00000177786.7'],one side
13492,chr14:3334203-3337380,+,annotated on 5',unannotated on 3',0.0,,['ENSMUST00000177786.7'],one side
13493,chr14:33382319-33383873,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000111944.9', 'ENSMUST00000150659.7', 'ENSMUST00000111945.8', 'ENSMUST00000111943.7', 'ENSMUST00000022504.11', 'ENSMUST00000111942.1']",both sides
13494,chr14:33382324-33383873,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000111944.9', 'ENSMUST00000150659.7', 'ENSMUST00000111945.8', 'ENSMUST00000111943.7', 'ENSMUST00000022504.11', 'ENSMUST00000111942.1']",both sides
13495,chr14:33388982-33390241,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000111944.9', 'ENSMUST00000150659.7', 'ENSMUST00000111945.8', 'ENSMUST00000111943.7', 'ENSMUST00000022504.11']",both sides
13496,chr14:33388982-33390672,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000111944.9', 'ENSMUST00000150659.7', 'ENSMUST00000111945.8', 'ENSMUST00000111943.7', 'ENSMUST00000022504.11']",both sides
13497,chr14:33390313-33392941,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000111944.9', 'ENSMUST00000111945.8', 'ENSMUST00000111943.7', 'ENSMUST00000022504.11', 'ENSMUST00000111942.1']",both sides
13498,chr14:33390744-33392941,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000111944.9', 'ENSMUST00000111945.8', 'ENSMUST00000111943.7', 'ENSMUST00000022504.11', 'ENSMUST00000111942.1']",both sides
13499,chr14:3348216-3349166,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000177786.7', 'ENSMUST00000178722.1']",both sides
13500,chr14:3349298-3349974,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000177786.7', 'ENSMUST00000178722.1']",both sides
13501,chr14:3350157-3353656,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000177786.7', 'ENSMUST00000178722.1']",both sides
13502,chr14:3396179-3397134,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000177913.1', 'ENSMUST00000112728.8']",both sides
13503,chr14:3412718-3414092,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000170123.1'],both sides
13504,chr14:3412718-3576802,+,annotated on 5',unannotated on 3',0.0,,['ENSMUST00000170123.1'],one side
13505,chr14:3414206-3417383,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000170123.1'],both sides
13506,chr14:3417534-3428067,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000170123.1'],both sides
13507,chr14:34216342-34282928,-,unannotated on 5',unannotated on 3',,,[],none
13508,chr14:34237586-34238837,-,annotated on 5',annotated on 3',1.0,0.0,['ENSMUST00000111917.2'],both sides
13509,chr14:34238953-34241286,-,annotated on 5',annotated on 3',1.0,0.0,['ENSMUST00000111917.2'],both sides
13510,chr14:34241515-34245161,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000111917.2', 'ENSMUST00000228704.1']",both sides
13511,chr14:34245368-34248883,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000111917.2', 'ENSMUST00000228704.1']",both sides
13512,chr14:34249018-34249176,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000111917.2', 'ENSMUST00000228704.1']",both sides
13513,chr14:34249371-34252526,-,unannotated on 5',annotated on 3',,0.0,"['ENSMUST00000111917.2', 'ENSMUST00000228704.1']",one side
13514,chr14:34249371-34259624,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000111917.2', 'ENSMUST00000228704.1']",both sides
13515,chr14:34251307-34282928,-,unannotated on 5',unannotated on 3',,,[],none
13516,chr14:34259732-34267500,-,annotated on 5',annotated on 3',1.0,0.0,['ENSMUST00000111917.2'],both sides
13517,chr14:34259732-34309039,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000111917.2', 'ENSMUST00000228132.1', 'ENSMUST00000227375.1', 'ENSMUST00000228704.1']",both sides
13518,chr14:34268952-34273486,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000227375.1', 'ENSMUST00000228626.1', 'ENSMUST00000111917.2', 'ENSMUST00000227006.1', 'ENSMUST00000228337.1']",both sides
13519,chr14:34268952-34309039,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000227375.1', 'ENSMUST00000228626.1', 'ENSMUST00000111917.2', 'ENSMUST00000228132.1', 'ENSMUST00000227006.1', 'ENSMUST00000228704.1', 'ENSMUST00000228337.1']",both sides
13520,chr14:34273576-34309039,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000227375.1', 'ENSMUST00000111917.2', 'ENSMUST00000228132.1', 'ENSMUST00000227006.1', 'ENSMUST00000228704.1', 'ENSMUST00000228337.1']",both sides
13521,chr14:3428230-3429183,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000178060.7', 'ENSMUST00000170123.1']",both sides
13522,chr14:3428230-3588587,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000178060.7', 'ENSMUST00000170123.1']",both sides
13523,chr14:3429315-3429991,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000170123.1'],both sides
13524,chr14:3429315-3458386,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000170123.1'],both sides
13525,chr14:3430174-3432715,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000170123.1'],both sides
13526,chr14:34460612-34502394,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000171343.8', 'ENSMUST00000171551.1', 'ENSMUST00000049005.14']",both sides
13527,chr14:34460615-34502394,-,annotated on 5',unannotated on 3',1.0,,"['ENSMUST00000171551.1', 'ENSMUST00000049005.14']",one side
13528,chr14:3450312-3451238,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000096168.5'],both sides
13529,chr14:3451370-3452039,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000096168.5'],both sides
13530,chr14:3451370-3458386,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000096168.5'],both sides
13531,chr14:3451370-3697793,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000096168.5'],both sides
13532,chr14:3452223-3458386,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000096168.5'],both sides
13533,chr14:34552322-34555342,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000228044.1', 'ENSMUST00000022328.13', 'ENSMUST00000090040.11', 'ENSMUST00000064098.13', 'ENSMUST00000022327.12']",both sides
13534,chr14:34552322-34566856,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000227819.1', 'ENSMUST00000228044.1', 'ENSMUST00000022330.8', 'ENSMUST00000022328.13', 'ENSMUST00000090040.11', 'ENSMUST00000064098.13', 'ENSMUST00000022327.12']",both sides
13535,chr14:34555528-34566856,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000227819.1', 'ENSMUST00000228044.1', 'ENSMUST00000022330.8', 'ENSMUST00000022328.13', 'ENSMUST00000090040.11', 'ENSMUST00000064098.13', 'ENSMUST00000022327.12']",both sides
13536,chr14:34561881-34566856,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000227819.1', 'ENSMUST00000228044.1', 'ENSMUST00000022330.8', 'ENSMUST00000022328.13', 'ENSMUST00000090040.11', 'ENSMUST00000064098.13', 'ENSMUST00000022327.12']",both sides
13537,chr14:34588495-34588600,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000227819.1', 'ENSMUST00000022330.8', 'ENSMUST00000022328.13', 'ENSMUST00000064098.13', 'ENSMUST00000022327.12']",both sides
13538,chr14:34588495-34590237,-,unannotated on 5',annotated on 3',,0.0,"['ENSMUST00000227819.1', 'ENSMUST00000022330.8', 'ENSMUST00000022328.13', 'ENSMUST00000064098.13', 'ENSMUST00000022327.12']",one side
13539,chr14:3458887-3892544,+,unannotated on 5',annotated on 3',,1.0,[],one side
13540,chr14:34692734-34694986,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000169910.7', 'ENSMUST00000090027.10', 'ENSMUST00000048263.13']",both sides
13541,chr14:34692734-34695004,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000169910.7', 'ENSMUST00000090027.10', 'ENSMUST00000048263.13']",both sides
13542,chr14:34708510-34708934,-,unannotated on 5',unannotated on 3',,,[],none
13543,chr14:34708722-34708934,-,unannotated on 5',unannotated on 3',,,[],none
13544,chr14:3512559-3543170,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000180289.1'],both sides
13545,chr14:3572107-3573484,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000178728.1'],both sides
13546,chr14:3573598-3576802,+,annotated on 5',unannotated on 3',0.0,,['ENSMUST00000178728.1'],one side
13547,chr14:3587637-3588587,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000178728.1'],both sides
13548,chr14:3588719-3589395,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000178060.7', 'ENSMUST00000178728.1']",both sides
13549,chr14:3589578-3593077,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000178060.7', 'ENSMUST00000178728.1']",both sides
13550,chr14:3635598-3636553,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000112802.8', 'ENSMUST00000179486.1']",both sides
13551,chr14:3652134-3653508,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000167430.7'],both sides
13552,chr14:3653622-3656799,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000167430.7'],both sides
13553,chr14:3656950-3667482,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000167430.7'],both sides
13554,chr14:3667645-3668598,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000167430.7', 'ENSMUST00000112801.3']",both sides
13555,chr14:3668730-3669406,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000167430.7', 'ENSMUST00000112801.3']",both sides
13556,chr14:3668730-3697793,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000167430.7', 'ENSMUST00000112801.3']",both sides
13557,chr14:3668730-3855182,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000167430.7', 'ENSMUST00000112801.3']",both sides
13558,chr14:3669589-3672130,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000167430.7', 'ENSMUST00000112801.3']",both sides
13559,chr14:36879762-36890341,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000182797.7', 'ENSMUST00000090024.10', 'ENSMUST00000183316.7', 'ENSMUST00000067700.12', 'ENSMUST00000182042.1', 'ENSMUST00000182558.1', 'ENSMUST00000183038.7', 'ENSMUST00000182576.1', 'ENSMUST00000183007.1']",both sides
13560,chr14:36879762-36896254,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000182797.7', 'ENSMUST00000090024.10', 'ENSMUST00000183316.7', 'ENSMUST00000067700.12', 'ENSMUST00000182042.1', 'ENSMUST00000182558.1', 'ENSMUST00000183038.7', 'ENSMUST00000182576.1', 'ENSMUST00000183007.1']",both sides
13561,chr14:36890426-36896254,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000182797.7', 'ENSMUST00000090024.10', 'ENSMUST00000183316.7', 'ENSMUST00000067700.12', 'ENSMUST00000182042.1', 'ENSMUST00000183038.7', 'ENSMUST00000183007.1']",both sides
13562,chr14:3689719-3690645,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000170639.1'],both sides
13563,chr14:3690777-3691446,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000170639.1'],both sides
13564,chr14:3690777-3697793,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000170639.1'],both sides
13565,chr14:3690777-3855182,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000170639.1'],both sides
13566,chr14:3691630-3697793,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000170639.1'],both sides
13567,chr14:36918596-36919224,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000182797.7', 'ENSMUST00000090024.10', 'ENSMUST00000067700.12', 'ENSMUST00000182635.1', 'ENSMUST00000182042.1', 'ENSMUST00000183038.7', 'ENSMUST00000182576.1']",both sides
13568,chr14:36918596-36926838,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000182797.7', 'ENSMUST00000090024.10', 'ENSMUST00000067700.12', 'ENSMUST00000182635.1', 'ENSMUST00000182042.1', 'ENSMUST00000183038.7', 'ENSMUST00000182576.1']",both sides
13569,chr14:3698294-3892544,+,unannotated on 5',annotated on 3',,1.0,[],one side
13570,chr14:3751952-3782562,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000177770.1'],both sides
13571,chr14:3810158-3811535,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000170480.7'],both sides
13572,chr14:3811649-3814870,+,annotated on 5',unannotated on 3',0.0,,['ENSMUST00000170480.7'],one side
13573,chr14:3824828-3825560,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000170480.7'],both sides
13574,chr14:3825723-3826676,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000178256.1', 'ENSMUST00000170480.7']",both sides
13575,chr14:3826808-3827484,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000178256.1', 'ENSMUST00000170480.7']",both sides
13576,chr14:3826808-3966334,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000178256.1', 'ENSMUST00000170480.7']",both sides
13577,chr14:3827667-3829542,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000170480.7'],both sides
13578,chr14:3847103-3848029,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000180934.7', 'ENSMUST00000112792.3']",both sides
13579,chr14:3848161-3848830,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000180934.7', 'ENSMUST00000112792.3']",both sides
13580,chr14:3848161-3855182,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000180934.7', 'ENSMUST00000112792.3']",both sides
13581,chr14:3849013-3855182,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000180934.7', 'ENSMUST00000112792.3']",both sides
13582,chr14:3855683-3892544,+,unannotated on 5',annotated on 3',,1.0,[],one side
13583,chr14:3892738-3920470,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000181779.1', 'ENSMUST00000178392.1']",both sides
13584,chr14:3934794-3939873,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000168306.7'],both sides
13585,chr14:3950487-4023846,+,unannotated on 5',unannotated on 3',,,[],none
13586,chr14:3950487-4187384,+,unannotated on 5',annotated on 3',,1.0,[],one side
13587,chr14:39553105-39553313,+,unannotated on 5',unannotated on 3',,,[],none
13588,chr14:39553105-39553521,+,unannotated on 5',unannotated on 3',,,[],none
13589,chr14:3964576-3965527,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000164696.1'],both sides
13590,chr14:4018920-4115285,+,unannotated on 5',unannotated on 3',,,[],none
13591,chr14:4023997-4033753,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000096184.4'],both sides
13592,chr14:4034783-4035733,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000096184.4'],both sides
13593,chr14:4035865-4036540,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000096184.4'],both sides
13594,chr14:4036723-4040223,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000096184.4'],both sides
13595,chr14:40912163-40912288,+,unannotated on 5',unannotated on 3',,,[],none
13596,chr14:40912163-40912350,+,unannotated on 5',unannotated on 3',,,[],none
13597,chr14:40912163-40912600,+,unannotated on 5',unannotated on 3',,,[],none
13598,chr14:40912163-40912662,+,unannotated on 5',unannotated on 3',,,[],none
13599,chr14:40912226-40912412,+,unannotated on 5',unannotated on 3',,,[],none
13600,chr14:40912226-40912787,+,unannotated on 5',unannotated on 3',,,[],none
13601,chr14:40912288-40912787,+,unannotated on 5',unannotated on 3',,,[],none
13602,chr14:40912350-40912787,+,unannotated on 5',unannotated on 3',,,[],none
13603,chr14:40912412-40912538,+,unannotated on 5',unannotated on 3',,,[],none
13604,chr14:40912475-40912600,+,unannotated on 5',unannotated on 3',,,[],none
13605,chr14:40912475-40912662,+,unannotated on 5',unannotated on 3',,,[],none
13606,chr14:40912538-40912787,+,unannotated on 5',unannotated on 3',,,[],none
13607,chr14:40912600-40912787,+,unannotated on 5',unannotated on 3',,,[],none
13608,chr14:40912662-40912787,+,unannotated on 5',unannotated on 3',,,[],none
13609,chr14:40912724-40912787,+,unannotated on 5',unannotated on 3',,,[],none
13610,chr14:41004203-41008198,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000136661.7', 'ENSMUST00000134715.7', 'ENSMUST00000152837.1', 'ENSMUST00000143143.7', 'ENSMUST00000130166.7', 'ENSMUST00000022317.14']",both sides
13611,chr14:41004203-41013625,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000136661.7', 'ENSMUST00000134715.7', 'ENSMUST00000152837.1', 'ENSMUST00000143143.7', 'ENSMUST00000130166.7', 'ENSMUST00000022317.14', 'ENSMUST00000128236.1']",both sides
13612,chr14:41004203-41013697,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000136661.7', 'ENSMUST00000134715.7', 'ENSMUST00000152837.1', 'ENSMUST00000143143.7', 'ENSMUST00000130166.7', 'ENSMUST00000022317.14', 'ENSMUST00000118466.7']",both sides
13613,chr14:41004220-41008198,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000136661.7', 'ENSMUST00000118466.7', 'ENSMUST00000128236.1']",both sides
13614,chr14:41004220-41013625,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000118466.7', 'ENSMUST00000143143.7', 'ENSMUST00000128236.1']",both sides
13615,chr14:41004220-41013697,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000118466.7', 'ENSMUST00000022317.14', 'ENSMUST00000128236.1']",both sides
13616,chr14:41005721-41008198,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000136661.7', 'ENSMUST00000152837.1']",both sides
13617,chr14:41105260-41105346,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000225720.1', 'ENSMUST00000224514.1']",both sides
13618,chr14:41105260-41105450,+,annotated on 5',unannotated on 3',0.0,,"['ENSMUST00000225720.1', 'ENSMUST00000224514.1']",one side
13619,chr14:41105260-41105511,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000225720.1', 'ENSMUST00000224514.1']",both sides
13620,chr14:4110610-4111992,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000170207.7'],both sides
13621,chr14:4112106-4115285,+,annotated on 5',unannotated on 3',0.0,,['ENSMUST00000170207.7'],one side
13622,chr14:41131832-41132215,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000170719.1', 'ENSMUST00000022314.9']",both sides
13623,chr14:41131832-41132434,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000170719.1', 'ENSMUST00000022314.9']",both sides
13624,chr14:41132248-41132434,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000170719.1'],both sides
13625,chr14:41151566-41153581,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000225792.1', 'ENSMUST00000047095.3']",both sides
13626,chr14:41151566-41154500,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000225792.1', 'ENSMUST00000047095.3']",both sides
13627,chr14:41153744-41154500,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000225792.1'],both sides
13628,chr14:4125298-4126030,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000170207.7'],both sides
13629,chr14:4126193-4127143,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000170207.7', 'ENSMUST00000167397.2']",both sides
13630,chr14:4127275-4127953,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000170207.7', 'ENSMUST00000167397.2']",both sides
13631,chr14:4128136-4131635,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000170207.7', 'ENSMUST00000167397.2']",both sides
13632,chr14:4168063-4173177,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000167839.7', 'ENSMUST00000171866.7']",both sides
13633,chr14:4182660-4187384,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000164512.7'],both sides
13634,chr14:4334796-4339505,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000165466.7'],both sides
13635,chr14:4334796-4420208,+,annotated on 5',unannotated on 3',0.0,,['ENSMUST00000165466.7'],one side
13636,chr14:4334796-4503926,+,annotated on 5',unannotated on 3',0.0,,['ENSMUST00000165466.7'],one side
13637,chr14:4339643-4348805,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000112778.3', 'ENSMUST00000165466.7']",both sides
13638,chr14:4348968-4349921,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000112778.3', 'ENSMUST00000165466.7']",both sides
13639,chr14:4350053-4350727,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000112778.3', 'ENSMUST00000165466.7']",both sides
13640,chr14:43819414-43819576,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000179200.1', 'ENSMUST00000100691.3']",both sides
13641,chr14:43875338-43875500,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000179200.1', 'ENSMUST00000226796.1']",both sides
13642,chr14:4415449-4499204,+,unannotated on 5',unannotated on 3',,,[],none
13643,chr14:4415532-4416911,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000168866.1'],both sides
13644,chr14:4415532-4420208,+,annotated on 5',unannotated on 3',0.0,,['ENSMUST00000168866.1'],one side
13645,chr14:4415532-4503926,+,annotated on 5',unannotated on 3',0.0,,['ENSMUST00000168866.1'],one side
13646,chr14:4417025-4420208,+,annotated on 5',unannotated on 3',0.0,,['ENSMUST00000168866.1'],one side
13647,chr14:4430224-4430956,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000168866.1'],both sides
13648,chr14:4431119-4432069,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000164603.7', 'ENSMUST00000168866.1', 'ENSMUST00000166848.7']",both sides
13649,chr14:4431119-4515835,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000164603.7', 'ENSMUST00000168866.1', 'ENSMUST00000166848.7']",both sides
13650,chr14:4432201-4439971,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000168866.1'],both sides
13651,chr14:4440099-4667106,+,unannotated on 5',unannotated on 3',,,[],none
13652,chr14:4440154-4442706,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000168866.1'],both sides
13653,chr14:4484779-4489851,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000167902.1', 'ENSMUST00000169364.7']",both sides
13654,chr14:4499287-4503926,+,unannotated on 5',unannotated on 3',,,[],none
13655,chr14:4499287-4654281,+,unannotated on 5',unannotated on 3',,,[],none
13656,chr14:4499287-4731545,+,unannotated on 5',unannotated on 3',,,[],none
13657,chr14:4504077-4510447,+,unannotated on 5',unannotated on 3',,,[],none
13658,chr14:45135970-45140417,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000139526.8', 'ENSMUST00000123879.7', 'ENSMUST00000022377.10']",both sides
